Model,Storage,Condition,Price
iPhone XR,64GB,Mint,"R 3,249.40"
iPhone XR,64GB,Sealed,"R 4,033.70"
iPhone XR,128GB,,
iPhone XR,128GB,Dead,R 115.50
iPhone XR,128GB,Poor,R 115.50
iPhone XR,128GB,Good,"R 3,576.10"
iPhone XR,128GB,Mint,"R 3,771.90"
iPhone XR,128GB,Sealed,"R 4,789.40"
iPhone XR,256GB,,
iPhone XR,256GB,Dead,R 115.50
iPhone XR,256GB,Poor,R 115.50
iPhone XR,256GB,Good,"R 4,098.60"
iPhone XR,256GB,Mint,"R 4,294.40"
iPhone XR,256GB,Sealed,"R 5,339.40"
iPhone Xs,,,
iPhone Xs,64GB,,
iPhone Xs,64GB,Dead,R 115.50
iPhone Xs,64GB,Poor,R 115.50
iPhone Xs,64GB,Good,"R 2,290.20"
iPhone Xs,64GB,Mint,"R 2,434.30"
iPhone Xs,64GB,Sealed,"R 3,166.90"
iPhone Xs,256GB,,
iPhone Xs,256GB,Dead,R 115.50
iPhone Xs,256GB,Poor,R 115.50
iPhone Xs,256GB,Good,"R 2,812.70"
iPhone Xs,256GB,Mint,"R 2,956.80"
iPhone Xs,256GB,Sealed,"R 3,716.90"
iPhone Xs,512GB,,
iPhone Xs,512GB,Dead,R 115.50
iPhone Xs,512GB,Poor,R 115.50
iPhone Xs,512GB,Good,"R 3,335.20"
iPhone Xs,512GB,Mint,"R 3,656.40"
iPhone Xs,512GB,Sealed,"R 4,266.90"
iPhone Xs Max,,,
iPhone Xs Max,64GB,,
iPhone Xs Max,64GB,Dead,R 115.50
iPhone Xs Max,64GB,Poor,R 115.50
iPhone Xs Max,64GB,Good,"R 2,642.20"
iPhone Xs Max,64GB,Mint,"R 2,810.50"
iPhone Xs Max,64GB,Sealed,"R 3,661.90"
iPhone Xs Max,256GB,,
iPhone Xs Max,256GB,Dead,R 115.50
iPhone Xs Max,256GB,Poor,R 115.50
iPhone Xs Max,256GB,Good,"R 3,164.70"
iPhone Xs Max,256GB,Mint,"R 3,502.40"
iPhone Xs Max,256GB,Sealed,"R 4,211.90"
iPhone Xs Max,512GB,,
iPhone Xs Max,512GB,Dead,R 115.50
iPhone Xs Max,512GB,Poor,R 115.50
iPhone Xs Max,512GB,Good,"R 3,875.30"
iPhone Xs Max,512GB,Mint,"R 4,052.40"
iPhone Xs Max,512GB,Sealed,"R 4,761.90"
